author,date,identifier,keywords,language,og_url,pdf_download_link,pdf_link,publisher,subjects,title
Francis C. Moon and Preston D. Stiefel,2006-12-15,10.1098/rsta.2006.2002,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2006.2002,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.2002?download=true,/doi/epdf/10.1098/rsta.2006.2002,The Royal Society,,"Correction for Moon and Stiefel, Coexisting chaotic and periodic dynamics in clock escapements"
Robert J. Nicholls and Richard S. J. Toll,2006-12-15,10.1098/rsta.2006.2001,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2006.2001,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.2001?download=true,/doi/epdf/10.1098/rsta.2006.2001,The Royal Society,,"Correction for Nicholls and Tol, Impacts and responses to sea-level rise a global analysis of the SRES scenarios over the twenty-first century"
Robin J Nicholas and Alison Mainwood and Laurence Eaves,2007-11-19,rsta20072160,"graphene,diamond,carbon nanotubes",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2160,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2160?download=true,/doi/epdf/10.1098/rsta.2007.2160,The Royal SocietyLondon,"graphene,diamond,carbon nanotubes",Introduction. Carbon-based electronics fundamentals and device applications
Marian Wiercigroch,2007-10-18,rsta20072121,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2121,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2121?download=true,/doi/epdf/10.1098/rsta.2007.2121,The Royal SocietyLondon,,Introduction. Experimental nonlinear dynamics of solids
E.K Sklyanin,2007-6-22,rsta20072053,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2053,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2053?download=true,/doi/epdf/10.1098/rsta.2007.2053,The Royal SocietyLondon,,Preface
Elbert E.N Macau and Celso Grebogi and Jürgen Kurths,2007-8-13,rsta20072120,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2120,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2120?download=true,/doi/epdf/10.1098/rsta.2007.2120,The Royal SocietyLondon,,Preface
Elbert E.N Macau and Celso Grebogi and Jürgen Kurths,2007-8-2,rsta20072119,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2119,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2119?download=true,/doi/epdf/10.1098/rsta.2007.2119,The Royal SocietyLondon,,Preface
Marian Wiercigroch,2007-11-5,rsta20072129,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2129,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2129?download=true,/doi/epdf/10.1098/rsta.2007.2129,The Royal SocietyLondon,,Introduction. Experimental nonlinear dynamics of fluids
Bharat Bhushan,2007-12-20,rsta20072162,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2162,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2162?download=true,/doi/epdf/10.1098/rsta.2007.2162,The Royal SocietyLondon,,Preface
John S Reid and Charles H.-T Wang and J. Michael T Thompson,2008-1-24,rsta20072196,"James Clerk Maxwell,history of science,Saturn's rings,colour science,electromagnetics,relativity",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2196,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2196?download=true,/doi/epdf/10.1098/rsta.2007.2196,The Royal SocietyLondon,"James Clerk Maxwell,history of science,Saturn's rings,colour science,electromagnetics,relativity",James Clerk Maxwell 150 years on
Keith Briggs and Frank Kelly and Mike Smith,2008-3-6,rsta20080029,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0029,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0029?download=true,/doi/epdf/10.1098/rsta.2008.0029,The Royal SocietyLondon,,Preface
Peter B Key and Laurent Massoulié,2008-06-13,rsta20080021,"welfare maximization,marginal congestion cost,transport control,overlays,multipath routing,congestion control",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0021,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0021?download=true,/doi/epdf/10.1098/rsta.2008.0021,The Royal SocietyLondon,"welfare maximization,marginal congestion cost,transport control,overlays,multipath routing,congestion control",Control of communication networks welfare maximization and multipath transfers
Keith Briggs,2008-3-6,rsta20080011,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0011,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0011?download=true,/doi/epdf/10.1098/rsta.2008.0011,The Royal SocietyLondon,,Discussion
Kelly H Zou and Aiyi Liu,2008-4-11,rsta20080046,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0046,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0046?download=true,/doi/epdf/10.1098/rsta.2008.0046,The Royal SocietyLondon,"bioinformatics,medical computing",Preface
Clarissa Valim and Maura Mezzetti and James Maguire and Margarita Urdaneta and David Wypij,2008-4-11,rsta20080044,"vaccine,efficacy,generalized linear models,longitudinal analyses,generalized estimating equation,heterogeneity",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0044,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0044?download=true,/doi/epdf/10.1098/rsta.2008.0044,The Royal SocietyLondon,"vaccine,efficacy,generalized linear models,longitudinal analyses,generalized estimating equation,heterogeneity,statistics",Estimation of vaccine efficacy in a repeated measures study under heterogeneity of exposure or susceptibility to infection
Simon K Warfield and Kelly H Zou and William M Wells,2008-4-11,rsta20080040,"segmentation,validation,expectation-maximization,magnetic resonance imaging,MRI,tumour",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0040,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0040?download=true,/doi/epdf/10.1098/rsta.2008.0040,The Royal SocietyLondon,"segmentation,validation,expectation-maximization,magnetic resonance imaging,MRI,tumour,bioinformatics,medical computing",Validation of image segmentation by estimating rater bias and variance
I Eames,2008-3-18,rsta20080028,"dispersed flows,multiphase flows,contrast agents,surfactants,microelecromechanical systems,foams",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0028,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0028?download=true,/doi/epdf/10.1098/rsta.2008.0028,The Royal SocietyLondon,"dispersed flows,multiphase flows,contrast agents,surfactants,microelecromechanical systems,foams",Introduction
J. David Neelin and Ole Peters and Johnny W.-B Lin and Katrina Hales and Christopher E Holloway,2008-5-7,rsta20080056,"atmospheric moist convection,precipitation,stochastic parametrization,climate models",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0056,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0056?download=true,/doi/epdf/10.1098/rsta.2008.0056,The Royal SocietyLondon,"atmospheric moist convection,precipitation,stochastic parametrization,climate models,atmospheric science",Rethinking convective quasi-equilibrium observational constraints for stochastic convective schemes in climate models
Adam H Monahan and Julie Alexander and Andrew J Weaver,2008-4-29,rsta20080045,"meridional overturning circulation,stochastic climate models,decadal- to centennial-scale variability,abrupt climate change,Dansgaard–Oeschger events",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0045,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0045?download=true,/doi/epdf/10.1098/rsta.2008.0045,The Royal SocietyLondon,"meridional overturning circulation,stochastic climate models,decadal- to centennial-scale variability,abrupt climate change,Dansgaard–Oeschger events,climatology",Stochastic models of the meridional overturning circulation time scales and patterns of variability
T.W.B Kibble and G.R Pickett,2008-6-5,rsta20080098,"cosmic strings,branes,black holes,phase transitions,topological defects,superfluids",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0098,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0098?download=true,/doi/epdf/10.1098/rsta.2008.0098,The Royal SocietyLondon,"cosmic strings,branes,black holes,phase transitions,topological defects,superfluids,cosmology",Introduction. Cosmology meets condensed matter
Jos Spaan and Christina Kolyva and Jeroen van den Wijngaard and Rene ter Wee and Pepijn van Horssen and Jan Piek and Maria Siebes,2008-6-17,rsta20080075,"coronary circulation,microcirculation,autoregulation,stenosis,waves,physiological indices",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0075,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0075?download=true,/doi/epdf/10.1098/rsta.2008.0075,The Royal SocietyLondon,"coronary circulation,microcirculation,autoregulation,stenosis,waves,physiological indices,biomedical engineering",Coronary structure and perfusion in health and disease
Erik Mosekilde and Peter A Tass,2008-7-16,rsta20080130,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0130,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0130?download=true,/doi/epdf/10.1098/rsta.2008.0130,The Royal SocietyLondon,biophysics,Preface
Francis Lévi and Atilla Altinok and Jean Clairambault and Albert Goldbeter,2008-12-28,10.1098/rsta.2008.3000,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.3000,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.3000?download=true,/doi/epdf/10.1098/rsta.2008.3000,The Royal Society,,"Correction for Lévi, Implications of circadian clocks for the rhythmic delivery of cancer therapeutics"
Marta Kwiatkowska,2008-7-31,rsta20080154,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0154,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0154?download=true,/doi/epdf/10.1098/rsta.2008.0154,The Royal SocietyLondon,"software,theory of computing",Introduction
Thomas A Henzinger,2008-7-31,rsta20080141,"embedded software,reliable systems,design principles",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0141,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0141?download=true,/doi/epdf/10.1098/rsta.2008.0141,The Royal SocietyLondon,"embedded software,reliable systems,design principles",Two challenges in embedded systems design predictability and robustness
Tom Rodden,2008-8-4,rsta20080146,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0146,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0146?download=true,/doi/epdf/10.1098/rsta.2008.0146,The Royal SocietyLondon,,Living in a ubiquitous world
Robin Milner,2008-7-31,rsta20080121,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0121,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0121?download=true,/doi/epdf/10.1098/rsta.2008.0121,The Royal SocietyLondon,,Understanding ubiquitous computing
Jon Crowcroft,2008-7-31,rsta20080140,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0140,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0140?download=true,/doi/epdf/10.1098/rsta.2008.0140,The Royal SocietyLondon,,Engineering global ubiquitous systems
Ken Caldeira and Lowell Wood,2008-8-29,rsta20080132,"climate engineering,geoengineering,climate,Arctic,albedo",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0132,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0132?download=true,/doi/epdf/10.1098/rsta.2008.0132,The Royal SocietyLondon,"climate engineering,geoengineering,climate,Arctic,albedo,climatology",Global and Arctic climate engineering numerical model studies
Stephen Salter and Graham Sortino and John Latham,2008-8-29,rsta20080136,"global warming,Flettner rotor,Twomey effect,albedo control,cloud condensation nuclei,spray generation",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0136,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0136?download=true,/doi/epdf/10.1098/rsta.2008.0136,The Royal SocietyLondon,"global warming,Flettner rotor,Twomey effect,albedo control,cloud condensation nuclei,spray generation,climatology",Sea-going hardware for the cloud albedo method of reversing global warming
R.S Lampitt and E.P Achterberg and T.R Anderson and J.A Hughes and M.D Iglesias-Rodriguez and B.A Kelly-Gerreyn and M Lucas and E.E Popova and R Sanders and J.G Shepherd and D Smythe-Wright and A Yool,2008-8-29,rsta20080139,"ocean fertilization,iron,nutrients,carbon sequestration",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0139,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0139?download=true,/doi/epdf/10.1098/rsta.2008.0139,The Royal SocietyLondon,"ocean fertilization,iron,nutrients,carbon sequestration,oceanography",Ocean fertilization a potential means of geoengineering
Andrew P Jephcoat and Alex N Halliday,2008-9-30,rsta20080221,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0221,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0221?download=true,/doi/epdf/10.1098/rsta.2008.0221,The Royal SocietyLondon,"geochemistry,geophysics",Preface
J. Michael T Thompson,2008-9-23,rsta20080202,"black holes,gravitational waves,gamma-ray bursts,stellar collapse,supernovae,extrasolar planets",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0202,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0202?download=true,/doi/epdf/10.1098/rsta.2008.0202,The Royal SocietyLondon,"black holes,gravitational waves,gamma-ray bursts,stellar collapse,supernovae,extrasolar planets,astrophysics",Introduction. Progress in astronomy from gravitational waves to space weather
Brian Launder and J. Michael T Thompson,2008-8-29,rsta20080151,,EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0151,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0151?download=true,/doi/epdf/10.1098/rsta.2008.0151,The Royal SocietyLondon,climatology,Preface
J. Michael T Thompson,2008-9-25,rsta20080215,"atmosphere and oceans,Earth's mantle,volcanoes,ecology,climate change",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0215,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0215?download=true,/doi/epdf/10.1098/rsta.2008.0215,The Royal SocietyLondon,"atmosphere and oceans,Earth's mantle,volcanoes,ecology,climate change,climatology,geochemistry,geophysics",Introduction. Progress in Earth science and climate studies
